avg_completion_percent,completion_trend,weeks_elapsed_ratio,num_checkins_missed,label
62.51,0.6968,0.4769,5,1
89.72,-0.5171,0.0636,0,1
77.57,-1.7432,0.4624,5,0
22.52,0.0751,0.1966,3,0
30.02,1.0298,0.2927,7,0
87.36,-1.2366,0.7632,4,1
0.53,-0.9351,0.2157,7,0
82.12,0.1445,0.6054,2,1
79.71,0.9933,0.4157,5,1
46.79,1.5863,0.4258,2,1
30.3,-1.497,0.7852,6,0
27.84,-1.2629,0.1948,4,0
25.49,1.1981,0.8814,6,0
44.51,0.5781,0.8541,4,0
50.45,0.8839,0.6515,6,1
55.35,1.9871,0.0945,1,1
99.55,1.7567,0.647,1,1
79.27,1.3721,0.5903,5,1
62.22,1.1085,0.745,1,1
98.9,-0.4199,0.2424,0,1
21.53,0.5649,0.908,4,0
16.02,-1.2622,0.8476,7,0
61.25,1.038,0.1529,2,1
4.39,1.0308,0.3337,1,0
3.57,0.8852,0.0792,5,0
51.49,-0.2208,0.7979,2,1
46.62,-0.4873,0.8736,6,0
91.72,-0.3209,0.9408,1,1
62.92,-1.8666,0.6007,1,1
51.41,1.3773,0.6494,7,1
49.69,0.1695,0.6606,4,0
24.75,-0.4499,0.5631,2,0
1.18,0.1921,0.9072,3,0
19.24,0.8866,0.5971,4,0
69.2,-0.4742,0.3522,0,1
20.06,1.3226,0.5116,7,0
36.95,1.6779,0.0668,3,1
0.37,-0.4503,0.7017,7,0
83.0,-1.4487,0.6745,6,0
15.45,1.0415,0.4289,0,1
26.76,1.9718,0.8163,6,0
88.03,-1.408,0.73,4,0
50.98,0.8507,0.353,7,1
84.72,1.3013,0.1197,4,1
63.97,1.6823,0.169,2,1
74.18,-1.5065,0.2158,5,1
9.15,-1.6328,0.3235,2,0
54.11,1.9515,0.4528,2,1
50.78,-1.533,0.8852,4,0
87.13,-1.2928,0.3006,2,1
36.13,0.2998,0.8587,7,0
59.82,-0.2149,0.6624,0,1
5.93,1.0016,0.8181,3,0
38.76,-1.2378,0.4129,0,0
32.3,1.6577,0.0529,5,0
15.02,-1.1312,0.7583,4,0
81.63,1.0764,0.2709,1,1
37.94,-1.7296,0.1782,0,0
97.87,-0.1064,0.7695,5,1
59.0,-1.8698,0.6677,1,0
60.51,-0.7448,0.2412,6,0
63.8,-0.7511,0.2908,2,0
67.65,0.879,0.8953,4,0
15.08,-0.1799,0.2917,0,0
44.03,-1.7729,0.6822,4,0
23.96,1.9814,0.1666,0,1
40.25,1.5548,0.7835,1,0
9.67,1.6653,0.1558,7,0
96.78,-1.0137,0.5144,7,0
21.5,-0.4236,0.0817,3,0
67.18,-1.0913,0.5451,7,0
30.04,-1.5004,0.812,1,0
87.41,-1.8679,0.126,4,1
66.22,0.0133,0.2968,5,1
13.16,-1.5075,0.7382,7,0
84.51,-1.2948,0.5973,0,1
94.49,1.4419,0.3315,4,1
90.39,-0.063,0.616,1,1
56.97,-1.2652,0.4592,3,0
14.55,0.6795,0.8261,7,0
19.25,-0.9365,0.3136,5,0
92.79,0.1077,0.732,7,1
55.23,-0.8682,0.6221,1,0
18.06,0.0646,0.7164,5,0
88.41,0.5141,0.3904,7,1
64.16,0.1448,0.7024,0,1
56.97,-0.4176,0.6786,6,0
37.63,1.1633,0.3987,2,1
41.1,1.4937,0.0738,3,0
23.95,-1.2825,0.9166,0,0
3.81,-1.4548,0.6922,6,0
87.62,-1.5472,0.2343,1,1
46.77,1.9184,0.7077,7,0
54.76,1.7664,0.3008,0,1
32.22,-1.0773,0.4724,0,0
75.13,1.8796,0.8239,1,1
2.52,-1.1687,0.4533,5,0
37.22,0.0259,0.3092,5,0
3.04,-0.0105,0.3249,1,0
12.29,1.6598,0.1193,0,1
96.71,-1.8379,0.2476,2,1
65.78,-0.7386,0.294,1,0
42.82,0.3999,0.2057,5,0
52.37,-1.7344,0.1068,7,0
87.28,-1.0538,0.4692,3,0
34.42,-0.1397,0.243,2,1
59.03,1.5234,0.7149,4,1
68.37,1.0438,0.8803,2,1
35.54,1.3159,0.2957,1,1
51.91,1.0443,0.565,0,1
76.52,0.8309,0.5061,5,1
90.92,1.3988,0.1176,6,1
15.11,0.7259,0.1624,4,1
93.34,0.9427,0.8463,5,1
0.52,-0.7934,0.4767,0,0
75.3,-1.3294,0.7741,4,0
81.05,1.0261,0.1099,5,1
13.68,-1.3367,0.5853,4,0
41.89,1.6778,0.8288,0,0
81.53,0.3866,0.8304,0,1
1.43,-0.6823,0.0552,7,0
62.85,1.7466,0.5195,2,1
79.3,-1.3795,0.3821,1,1
51.3,0.0579,0.734,4,0
72.58,-1.6338,0.1159,5,0
22.64,1.8617,0.2884,7,1
19.85,0.3015,0.7814,5,0
36.31,1.2147,0.4726,6,0
17.94,-0.8723,0.4578,7,0
34.61,1.2072,0.9217,5,0
94.81,0.8114,0.3379,4,1
57.33,0.5747,0.0875,4,1
34.01,1.8023,0.403,1,1
27.15,-0.266,0.188,0,1
95.2,-0.3396,0.1237,0,1
44.45,0.7685,0.5611,7,0
98.04,1.3402,0.9082,2,1
51.55,-0.6597,0.5715,0,1
52.12,0.6786,0.6324,1,0
89.65,-1.1639,0.3413,1,1
74.28,0.2068,0.564,3,1
58.07,1.0767,0.727,5,1
42.66,-1.7387,0.5804,6,0
87.82,0.9114,0.7725,6,1
41.16,-1.9383,0.5454,7,0
92.28,1.8334,0.2283,6,1
6.87,-0.1253,0.5745,2,0
43.0,-0.3637,0.4918,3,0
51.95,0.8818,0.1993,5,1
95.09,0.0932,0.6072,1,1
25.1,0.9234,0.7853,5,0
80.6,-1.661,0.1716,0,1
67.65,0.2512,0.5405,1,1
71.71,0.2324,0.7103,6,0
